1,Banff National Park,"Founded in 1885, Banff is Canada's first national park and part of the first national park system in the world. With its soaring peaks, azure lakes, and abundant wildlife, this Rocky Mountain park attracts millions of visitors every year.","Improvement District No. 9, AB T0L"
2,Elk Island National Park,"Experience first-hand the story of the bison and how it was saved from near extinction at Elk Island National Park, where an active conservation program replenishes herds around the world.","54401 Range Rd 203, Fort Saskatchewan, AB T8L 0V3"
3,Jasper National Park,"Abundant in natural beauty, wildlife, lakes, waterfalls, and mountains, Jasper is a wild and wondrous place to visit year-round.","Jasper, AB T0E 1E0"
4,Waterton Lakes National Park,The prairies of Alberta meet the peaks of the Rocky Mountains in Waterton Lakes National Park.,"Waterton Park, AB T0K 2M0"
5,Glacier National Park,"Glacier is known for steep alpine hikes, lush cedar forests and unparalleled backcountry skiing. At the heart of the park, hitory comes alive at Rogers Pass, the key to completion of Canada's transcontinental railway.","Columbia-Shuswap, BC V0X 1R0"
6,Gulf Islands National Park Reserve,"Scattered throughout the Salish Sea, the Gulf Islands teem with wildlife, a haven for rare species and threatened eco-systems and a playground for hikers, campers, cyclists, boaters and kayakers.","195-203 Narvaez Bay Rd, Saturna, BC V0N 2Y0"
7,Gwaii Haanas National Park Reserve,"Amid lush rainforest islands and seas rich with wildlife, Gwaii Haanas harbours rare sites of carved poles and longhouses, making this park culturally important to the Haida people who co-manage cooperatively manage the region with Parks Canada.","Daajing Giids, BC V0T 1S0"
8,Kootenay National Park,"With diverse terrain embracing everything from arid grasslands to glaciers, Kootenay National Park offers the full Rocky Mountain experience along the historic Banff-Windermere Highway. Take a scenic drive or stay and explore the park’s treasures.","7556 Main St E, Radium Hot Springs , V0A 1E0"
9,Mount Revelstoke National Park,"Stroll through brilliant wildflower meadows, or lie back in awe atop a mountain peak. From lush green valley to mountain summit, all is within a leisurely day’s drive at Mount Revelstoke National Park.","Meadows in the Sky Pkwy, Revelstoke, BC V0E 2S0"
10,Pacific Rim National Park Reserve,"Catch a wave, or spread a blanket and watch the sun dip below the horizon. From rainforests on land to marine kelp forests at sea, Pacific Rim National Park Reserve embodies the rich natural and cultural heritage of Canada’s west coast.","Pacific Rim National Park Reserve, British Columbia"
11,Yoho National Park,"In the shadow of the Great Divide, Yoho’s towering rockwalls, spectacular waterfalls and soaring peaks reveal the secrets of ancient life, the power of ice and water and the stories of plants and animals that continue to evolve today.","Field, BC V0A 1G0"
12,Riding Mountain National Park,"Explore 3000 km2 of thrilling outdoor possibilities in Riding Mountain National Park where the boreal forest, aspen parkland and fescue prairie meet.","135 Wasagaming Dr, Onanole, MB R0J 1N0"
13,Wapusk National Park,"A vast subarctic wilderness of tundra and boreal forest, Wapusk protects one of the world’s largest known polar bear maternity denning areas, as well as more than 200 bird species, caribou, wolverine, arctic hare and foxes.",Manitoba R0B 0E0
14,Fundy National Park,"The world’s highest tides await visitors at Fundy National Park. Kayak on the Bay of Fundy, explore the seafloor when the tide recedes, hike or bike through native Acadian forests and more at one of Canada’s best-known national parks.","Alma, NB"
15,Kouchibouguac National Park,"Golden sand dunes, estuaries brimming with life, warm ocean beaches, Mi’kmaq and Acadian culture, the starry spectacle of a Dark Sky Preserve and snowbound winter activities weave together the compelling tapestry of Kouchibouguac National Park.","National 186, NB-117, Kouchibouguac, NB E4X 1V2"
