111,1,Banff Gondola,"High above the town of Banff, you'll find yourself on the summit of Sulphur Mountain after 700 metres in elevation. The Banff Gondola is a popular destination for locals and tourists, displaying breathtaking views of Banff and offerring dining and other attractions once the summit is reached.",84,54.6,"100 Mountain Ave, Banff, AB T1L 1B2"
112,1,Golden Skybridge,"Walk this suspension bridge 426 feet above an expansive canyon, engulfed by the Columbia Valley.",49,31.85,"503 Golden Donald Upper Road, Golden, BC, V0A 1H0"
113,1,Cave & Basin National Historic Site,"Cave and Basin has been a special place for Indigenous peoples for over ten thousand years and continues to be so to this day. In 1883, three railway workers found the thermal springs, sparking a series of events that led to the creation of Canada’s first national park. Today, the site is a gathering place for sharing stories about conservation and the connection between people and the land in Canada’s national protected areas. Visit the Cave and Basin National Historic Site to experience the birthplace of Canada’s national parks and learn about the natural and cultural history of the mountains. Discover the hot water that seeps from the rocks, smell the minerals and explore the trails.",9,0,"311 Cave Ave, Banff, AB T1L 1K2"
114,1,Lake Louise,"Lake Louise is a hamlet in Banff National Park in the Canadian Rockies, known for its turqouise, glacier-fed lake ringed by high peaks and overlooked by a stately chateau.",0,0,"Lake Louise Lakeshore Trail, Lake Louise, AB T0L"
115,1,Lake Minnewanka,"Lake Minnewanka is a glacial lake in the eastern area of Banff National Park in Canada, about five kilometers northeast of the Banff townsite.",0,0,"Lake Minnewanka Scenic Dr, Improvement District No. 9, AB T1L 1K2"
116,1,Moraine Lake,"Moraine Lake is a stunning turquoise lake, cradled by the Valley of the Ten Peaks, located in Banff National Park, Alberta, Canada.",0,0,"Improvement District No. 9, AB"
211,2,Astotin Lake,"Astotin Lake offers a peaceful lakeside setting for your next picnic or family outing. The Astotin Lake area of Elk Island National Park has picnic shelters and tables, fire pits, drinking water and washrooms to make your picnic enjoyable and comfortable.",0,0,"Improvement District No. 13, AB"
212,2,Geo Domes,Escape in the wilderness in Elk Island Retreat in these geo domes designed to house a maximum of 2 adults.,249,0,"54371 Range Rd 205, Fort Saskatchewan, AB T8L 3Z3"
311,3,Planetarium and Telescope Combo Tour,"Discover the wonders of the night sky with our award-winning star-gazing tour package! Start your tour in the Planetarium Dome Theatre and explore local First Nations constellations, the Milky Way, and even the edge of the universe! ",72.45,26.25,"1 Old Lodge Rd, Jasper, AB T0E 1E0, Canada"
312,3,Columbia Icefield Tour with Glacier Skywalk,Discover the Glacier Skywalk and Athabasca Glacier aboard an ice explorer vehicle equipped to handle the rugged ice landscape. Frequent tour departures and flexible scheduling mean you won’t be tied down to a single tour time; that means you can secure your tickets in advance then show up on your own schedule.,124.97,80.54,"93 Icefields Pkwy, Jasper, AB T0E 1E0, Canada"
