1,Banff Gondola,"High above the town of Banff, you'll find yourself on the summit of Sulphur Mountain after 700 metres in elevation. The Banff Gondola is a popular destination for locals and tourists, displaying breathtaking views of Banff and offerring dining and other attractions once the summit is reached.",85,55.25,"100 Mountain Ave, Banff, AB T1L 1B2"
1,Lake Minnewanka Cruise,Explore Lake Minnewanka as you tour the beautiful landscape of Canada's oldest national park during this hour long tour.,89,57.85,"Lake Minnewanka Scenic Dr, Improvement District No. 9, AB T1L 1A1"
1,Columbia Icefield Tour with Glacier Skywalk,Discover the Glacier Skywalk and Athabasca Glacier aboard an ice explorer vehicle equipped to handle the rugged landscape.,129.16,83.27,"Highway 93, 93 Icefields Pkwy Highway, Improvement District No. 12, AB T1L1J3"
1,Cascade of Time Garden,"Just minutes from downtown Banff, explore this little oasis that boasts beautiful foliage and architecture.",0,0,"Cave Ave, Banff, AB T1L 1K2"
1,Cave and Basin National Historical Site,"Cave and Basin has been a special place for Indigenous peoples for over ten thousand years and continues to be so to this day. In 1883, three railway workers found the thermal springs, sparking a series of events that led to the creation of Canada’s first national park. Today, the site is a gathering place for sharing stories about conservation and the connection between people and the land in Canada’s national protected areas. Visit the Cave and Basin National Historic Site to experience the birthplace of Canada’s national parks and learn about the natural and cultural history of the mountains. Discover the hot water that seeps from the rocks, smell the minerals and explore the trails.",9,0,"311 Cave Ave, Banff, AB T1L 1K2"
1,Golden Skybridge,"Walk this suspension bridge 426 feet above an expansive canyon, engulfed by the Columbia Valley.",49,31.85,"503 Golden Donald Upper Road, Golden, BC, V0A 1H0"
1,Discover Grizzly Bear Tour,"Meet Boo at the Grizzly Bear Refuge. This tour includes stops at Emerald Lake, Natural Bridge, and Takakkaw Falls. This tour boats a guarantee to view a grizzly bear or your next tour is free.",317.9,174.9,Pick up occurs in most hotels in Banff and the Samson Mall in Lake Louise
3,Planetarium and Telescop Combo Tour,Discover the wonders of the night sky with this award winning star gazing tour package.,72.45,26.25,"1 Old Lodge Rd, AB T0E 1E0"
3,Athabasca Canyon Run Family Rafting: Class 2 Plus Rapids,"Paddle through the dramatic Athabasca Canyon on a half-day whitewater rafting adventure from Jasper that takes on fun, family-friendly Class 2+ rapids.",124.2,81,"638 Connaught Dr, Jasper, AB T0E 1E0"
3,Maligne Canyon Ice Walk,"Join a small-group tour and hike down into the gorges of Maligne Canyon. This hike takes you past unusual geological formations, behind frozen waterfalls, and into caves made of ice. Explore the deepest canyon in the Canadian Rocky Mountains with a guide who helps you discover the area and provides lots of fascinating facts about Jasper and its history.",74,36,Contact SunDog Tours at least 24 hours prior to departue to confirm booking and pickup location.
3,Sunwapta River Self-Drive Rafting Trip,"If you're ready for a thrilling whitewater rafting outing in Jasper National Park, don't bother with a mellow tour when you can enjoy this self-drive adventure through Grade 3 rapids. Rain or shine, head out on the Sunwapta River for an adrenaline-fueled adventure. Just don your included wetsuit, layer up for warmth, and head out on the river. Cruise the speedy rapids, and enjoy the mountainous landscape as you go.",131.94,0,"Icefields Parkwar, AB-93, Jasper, AB T0E 1E0"
3,Tread Lightly Glacier Hikes,"Get up close and personal with the Athabasca Glacier on this small-group guided hike across rock, snow, and ice. Walk in the shadow of soaring peaks and discover the hidden wonders of the glacier as your guide shares stories about its history and geology. For those who want to take it to the next level, your guide will look for opportunities to descend below the ice surface.",183.75,183.75,"Icefields RV Camping, Improvement District No. 12, AB T0E 0E0, Canada"
